id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season,league
1896,Riccardo Gagliolo,28,1953,2,3.4122048392891884,2,0.923083622008562,19,17,6,0,D S,Parma Calcio 1913,2,3.4122048392891884,5.224197598174214,3.520141292363405,2020-2021,serie_a
1942,Martín Cáceres,29,2241,2,1.8278058059513569,2,1.156830683350563,15,10,4,0,D S,Fiorentina,2,1.8278058059513569,6.779381621629,5.810165850445628,2020-2021,serie_a
1997,Andrea Favilli,11,330,2,1.8720828294754028,0,0.1120312362909317,13,2,1,0,F S,Verona,2,1.8720828294754028,2.8343591541051865,0.9517649114131927,2020-2021,serie_a
2019,Federico Bonazzoli,22,661,2,1.7117881393060088,3,1.3519380167126656,25,5,2,0,F S,"Sampdoria,Torino",2,1.7117881393060088,5.035986595787108,2.4764379113912582,2020-2021,serie_a
3429,Tiemoué Bakayoko,32,1985,2,1.39973518345505,1,0.7084054853767157,16,11,4,1,M S,Napoli,2,1.39973518345505,8.173933297395706,7.875642821192741,2020-2021,serie_a
3515,Valentin Eysseric,16,715,2,1.5534678176045418,0,0.868717766366899,13,8,2,0,M S,Fiorentina,2,1.5534678176045418,2.5021130023524165,1.0349078243598342,2020-2021,serie_a
3772,Maxime Lopez,29,1876,2,1.5686356332153082,0,1.082992528565228,10,20,7,0,M S,Sassuolo,2,1.5686356332153082,9.204739823937416,7.809497674927115,2020-2021,serie_a
4941,Hans Hateboer,22,1769,2,3.9474993888288736,1,1.663618571124971,27,20,3,0,D M S,Atalanta,2,3.9474993888288736,16.089722871780396,11.722094006836414,2020-2021,serie_a
5246,Diego Demme,24,1606,2,1.4193182811141014,3,2.1654972936958075,14,20,6,0,M S,Napoli,2,1.4193182811141014,10.837771439924836,8.23627613671124,2020-2021,serie_a
5700,Yann Karamoh,24,1313,2,4.817762490361929,1,1.686786402016878,22,15,3,0,F M S,Parma Calcio 1913,2,4.817762490361929,8.143271066248417,2.209301974624396,2020-2021,serie_a
6176,Adam Marusic,36,2963,2,2.182736692018807,3,1.755148314405233,27,29,2,0,D S,Lazio,2,2.182736692018807,12.361069221049547,9.413664124906065,2020-2021,serie_a
